Komentar,Sentiment
"@ikanmokpoo mjb, mau transaksi apa Kak? Aku transaksi bayar pake QRIS td aman dan lancar jayaa",positive
"@BNICustomerCare ini kenapa dari dulu setiap mau transaksi qris via BNI selalu ga bisa ya min, setiap scan barcode selalu otomatis keluar gitu, ada 5 kali nyoba gitu terus jadi bete deh mau praktis malah jd ribet",negative
"@tanyakanrl Keuntungannya praktis, tinggal swipe up di homescreen/lockscreen terus bisa langsung transaksi pake QRIS.",positive
"@leeehovo @discountfess mau tanya kak, di pertamina bisa bayar menggunakan qris ngga?",neutral
Udah 4x gw transaksi di alfa bahkan alfa yg ada di beda kota. Gagal terosss pake qris wkwkwkwkwk males ah,negative
"Oalah, pantes kemaren gabisa transaksi pake qris",negative
Wtb spotify pake akun sendiri need fast bisa bayar pake qris/bni #zonaba #zonauang️,neutral
Gak usah bingung milih jajan enak atau jajan murah lagi karena mimin udah punya solusinya! Kamu bisa minum enak tambah murah di Cincau Station sampai 28 FEB karena kalau bayar QRIS pakai ShopeePay bisa dapet CASHBACK 80% lohh! Cusss buruan jangan sampai kelewatan! https://t.co/MZ9asEx7mU,positive
Semalem berhasil bayar pake QRIS https://t.co/p4NAdXGMbi,neutral
*mbeli gula* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin],negative
Orang Kristen tidak suka bayar tunai/cash karena dosa mereka dibayar dengan Jesus QRIS,negative
ken arok kalo bayar pake qris mpu gandring,neutral
@Askrlfess Coba diliat ditatonya nder Kali aja ada qris Nah ntr bayar disitu aja,neutral
literally sejak debat qris gw jd terbata2 kl mau bayar literally kmrn gw ngmng bayarnya pake kyu- qr aja bisa kan mas ,neutral
@sbtcon Dr bubble mu aja blg aku bisanya bayar pake qris trs si seller gada. Ya dipikiran seller km gabisa beli,negative
BAYAR JAJANAN TINGGAL PAKAI QRIS karena semua #LebihMudahdiSeaBank! REPLY QRIS DI SEABANK DAN DOWNLOAD SEABANK SEKARANG https://t.co/ocgQEYhCQT buat dapetin KEUNTUNGAN lainnya dari SeaBank! #SeaBankID https://t.co/4hVlxQ7nnk,positive
Sore @HaloBCA Mau tanya ini kok dari sabtu gini terus ya. Saya bayar pake qris gangguan gk masuk2 ke penerima. https://t.co/GzG8hlSE9n,negative
mau canva pro 1 bulan yang bisa bayar pake qris,neutral
RT's are appreciated! thank u Haloo! aku bawa ready stock gepeng (genshin impact &amp; honkai star rail) harganya 11.000/each dapet ava PNG only. bisa bayar lewat qris bisa di take sekarang! tysm &lt;3 #zonauang #zonajajan #zonaba https://t.co/IK9yp9khlK,neutral
@hi *mbeli gula* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin] https://t.co/o1s0U758To,neutral
@convomfs kmren beli kopi di brand terkenal di indo kok disuruh nambah charge 1% ya klo bayar make qris? skrg gitu ya? tp klo bayar cash kena charge,negative
Mau Disney+ bayar pake qris #zonaba #zonauang,neutral
@gibran_tweet Mas coba pedagang di Alkid disarankan bisa bayar pake Qris biar orang-orang bisa lebih kalap kalau jajan ,neutral
mau netflix sharing famplan seminggu dong prefer yg bisa bayar pake qris #zonauang,neutral
wtb netflix satu hari yg bisa lgsg login &amp; bisa bayar pake qris #zonauang #zonabaᅠᅠᅠ #zonajajan,neutral
Coba yang pemilik bisnis dan udh pake QRIS aku mo nanya... Apa alasannya kalau bayar pake QRIS pembeliannya minimal 100rb? Padahal aku bayar nasi ini bisa lho 10rb aja. https://t.co/EoipOhCrNC,neutral
Sumpah ngakak banget anjir gue mau bayar ngirim paket pake qris eh gue malah ngomingnya kiss ass anjir gatau kenapa agak ngelag nih otak,negative
Hah hari gini masih bayar pakai cash? ribet. Sekarang kemana-mana cukup bawa HP aja karna payment belanjaan kamu lebih gampang pakai QRis nya Allo Bank. Kalo kalian tipe cashless atau kemana2 harus pegang cash nih? Yuk komen dibawah ya! https://t.co/zMpSZgL8r6,neutral
wtb canva 1 tahun drop price bs bayar pake qris #zonajajan #zonauang,neutral
Maaf telat join gaes xixixi. Kamu tipe yang mana nih pas mau bayar-bayar di kasir pake QRIS? Reply di bawah ya. https://t.co/6nnhV5VF0P,neutral
@FOODFESS2 Bagi yang nanya atau kebingungan ini tuh matcha frappenya point coffee yang lagi promo i do like Monday dari 35k jadi 19k. Terus bayar pake qris gopay nanti langsung dapet potongan 2k jadi ya cuman bayar 17k. Sama-sama.,neutral
netflix sebulan yg murah bestie. yg bisa bayar pake qris ya #zonauang,positive
Isi kuota internet dapet cashback. Bayar pake QRIS dapet diskon. Emang banyak untungnya transaksi pake Neobank tuh. Daftar Neobank di: https://t.co/1eilnrhX2c https://t.co/TzTj6OX3mn,neutral
help rt makasiee banyak aku membawa layout ready stock hanni new jeans dapet ava png jpg bisa bayar via qris dan harganya 3000 saja mariee jajan #zonauang https://t.co/AVbcB1nRKF,neutral
Hidup di Jakarta skrg apalagi ke mall atau ke tempat gede udah bisa banget cashless Di bbrp toko/restoran bahkan cuma terima cashless payment aja sebagai metode pembayaran. Cuma pakai QRIS lgsg bayar ini itu semuanya,positive
Flash coffee bayar pake Qris BCA lg buy 1 get 1 free gais saatnya beli kohiiiii https://t.co/9fyGE8gYbQ,neutral
 lanyard wallet https://t.co/SdRaI1EO3R praktis sat set pake ini bawa id card sekalian atm ktp emoney sama uang receh skr bayar bayar udh pake qris kan yah ini buat jaga jaga aja gitu https://t.co/2HRSOheAzP,neutral
di kfc tadi bingung kok pada bayar pake qris bca : ( pas dah pulang malah baru tau promo ini https://t.co/jLFKOP5FVK,neutral
Pecinta smoothies mana suaranya?? Mau jajan smoothies favorit bisa lebih irit karena ada diskon HINGGA Rp10 RIBU* kalau kamu bayar pakai QRIS neobank! Tunggu apalagi Neotizen? Yuk jajan di Joomba sekarang dan dapetin diskonnya! https://t.co/xMn6R2R98J,positive
 PROMO McD QRIS BCA bayar 50rban udah dapet menu sebanyak ini gaissss mau tau ga menu nya apa? #promobca #HUTBCA66 #promomcd https://t.co/AhWBBTIRes,neutral
/info tadi aku liat masih banyak yg bingung promo mcd hut bca ngga adaa kuota dan ngga adaa ketentuan jenis kartu rekening yaa temen2 cuma bayar pake qris bca ajaa https://t.co/pmVwlLgSIq,neutral
/info btw guys supaya gak bingung yg harga 54k itu harga setelah cashback qris yg 66% itu ya. Jadi harus bayar normal dulu sebelum dapetin harga 54k. Intinya yg lebih worth emang yg scan vc apk yg 4 ayam dan sisanya beli menu lain untuk genapin 100k ,positive
netflix harian yg bisa bayar pake qris sob #zonauang,neutral
Arc! roha mau nanya dong event ini bayar nya pake apa? Qris atau cash? soal nya aku baru pertama kali mau ke event kaya gini hehehe https://t.co/0uweRmgv10,neutral
@Yulianti2607 @discountfess Aku bukan sender tp ku bantu jawab ya Kamu bisa mesen di mesin self service kak menu yg km mau setelah itu ketika pembayaran pilih bayar di kasir. Nanti dikasir bilang sama mbaknya mau bayar pake QRIS mbca gitu kak. Semoga membantu,neutral
@rutacebae @FOODFESS2 klaim promo di app mcd kak yg paket 4 ayam 2 nasi 2 minum 54ribu. trs ditambah beli paket family time yg 89ribu. totalnya jadi 150an ribu bayar pake qris bca dpt cashback 66% (maks cashback 100k) jd total sisanya tinggal 50ribuan ajaaa,neutral
Makin maju bayar tarif trans jogja pake scan Qris🇮🇩 https://t.co/gnuRGiBogd,neutral
/info yg cari t-shirt diskon roughneck lagi cuci gudang sort by price low to high yaa. nanti pas mau checkout klik flik 1-click checkout biar dapet disc 25k (new user website roughneck) nanti pas mau bayar munculnya harga awal sebelum disc tapi pas udah di scan qris/va (cont..) https://t.co/pK8sFmZvSk,neutral
memulai hari dengan terjebak nunggu teman di tempat sarapan karena nda bisa bayar pake QRIS dan gabawa duit kes lfg ,negative
Sobat Shopee! Bayar QRIS pakai ShopeePay! Cashback sampai dengan 80% lho! Cek info lengkapnya di sini ya https://t.co/i63gLnvDcp #Shopeecare #MelayaniDenganSolusi https://t.co/dsyrcYnUR3,neutral
BRImo fiturnya mempermudah gue banget apalagi ada fitur Qris sekarang mau bayar apapun lebih mudah dan engga perlu bawa uang cash lagi Valid No Debat deh #BRImoInAja https://t.co/6ZaszBsRo0,positive
help rt thank youuu aku ada layout isa stayc dapet ava jpng bisa bayar via qris dan harga 3000 ajaaa. marieee jajan #zonauang https://t.co/Hid9tRMmP4,neutral
Shopping OOTD hits di Urban &amp; Co jangan lupa bayarnya pakai AstraPay ya! Caranya mudah banget: 1. Pergi belanja online di website Urban&amp;Co 2. Check out belanjaanmu 3. Pilih payment by Xendit 4. Klik bayar sekarang 5. Selanjutnya pilih E-money/QRIS dan pilih AstraPay https://t.co/Mr7gLD2OaY,neutral
Need canva yg murce bayar via qris #zonaba #zonauang,neutral
RT WOULD BE APPRECIATED &lt;3 aku ada 4 layout ready stock nih dapet ava png+jpg bisa bayar qris juga untuk harganya khusus wonyoung 2000 hanni sohee dan chaehyun 3000 aja marie jajan #zonauang https://t.co/aiF0HOdiEH,neutral
Brum brum brum Program Racing QRIS BTN Mobile datang~ Perbanyak belanja apapun sesuka hati kamu dan bayar pakai QRIS BTN Mobile bisa dapatkan CASHBACK sebesar Rp30.000! Promo sampai 28 Februari 2023 yah! https://t.co/2FNjg48qh5,neutral
Anak sekolah nonton bioskop dan jajan popcorn di CGV HEMAT PULUAN RIBU karena dapet CASHBACK 50% sampai Rp25.000 ketika bayar pakai QRIS Whiz?!?! Yuk merapat Whizmin spill rahasia hematnya promo pelajar #NobarPelajar di sini! https://t.co/w9uoKstUXW,neutral
@ngalammenfess Fyi dari sisiku yang juga pedagang bukan maksudnya gak bener akad jual beli. Tapi terkadang cari uang receh 200 ato 100 itu susah sekarang. Jadi kadang ada stoknya dikit nder. Nah biar ga ribet kembalian besok² sering bayar pake QRIS aja jadi bisa hemat sampe 100 perak pun,positive
@worksfess Bayar pake apapun klo via app ya minimal pasti bakal ada notif transaksi berhasilnya kk :( Ini Murni salah kakak sendiri yg nekat terima pembayaran QRIS padahal gk ngerti cara kerjanya. Semangat kk semoga jadi pelajaran. https://t.co/O6ymwmfJuR,negative
@worksfess Ini sih ngescan qris pake qr scanner biasa bukan bukti transaksi bayar. Isinya qris kayak begitu datanya kalo discan fungsinya untuk entry data awal kalo discan pake aplikasi bayar qris,neutral
