created_at,Komentar,Sentiment,Score,month_year
2023-03-08 04:10:06+00:00,"@ikanmokpoo mjb, mau transaksi apa Kak? Aku transaksi bayar pake QRIS td aman dan lancar jayaa",positive,5.016.244.649.887.080,2023-03
2023-03-05 10:48:34+00:00,"@BNICustomerCare ini kenapa dari dulu setiap mau transaksi qris via BNI selalu ga bisa ya min, setiap scan barcode selalu otomatis keluar gitu, ada 5 kali nyoba gitu terus jadi bete deh mau praktis malah jd ribet",negative,989.467.442.035.675,2023-03
2023-03-17 04:21:57+00:00,"@tanyakanrl Keuntungannya praktis, tinggal swipe up di homescreen/lockscreen terus bisa langsung transaksi pake QRIS.",positive,8.306.553.959.846.490,2023-03
2023-03-03 16:20:59+00:00,"@leeehovo @discountfess mau tanya kak, di pertamina bisa bayar menggunakan qris ngga?",neutral,9.959.661.960.601.800,2023-03
2023-08-21 11:39:04+00:00,Udah 4x gw transaksi di alfa bahkan alfa yg ada di beda kota. Gagal terosss pake qris wkwkwkwkwk males ah,negative,996.809.422.969.818,2023-08
2023-03-01 03:44:42+00:00,"Oalah, pantes kemaren gabisa transaksi pake qris",negative,8.239.908.814.430.230,2023-03
2023-02-10 06:39:27+00:00,Wtb spotify pake akun sendiri need fast bisa bayar pake qris/bni #zonaba #zonauang️,neutral,9.968.036.413.192.740,2023-02
2023-02-18 05:30:06+00:00,Gak usah bingung milih jajan enak atau jajan murah lagi karena mimin udah punya solusinya! Kamu bisa minum enak tambah murah di Cincau Station sampai 28 FEB karena kalau bayar QRIS pakai ShopeePay bisa dapet CASHBACK 80% lohh! Cusss buruan jangan sampai kelewatan! https://t.co/MZ9asEx7mU,positive,9.303.252.696.990.960,2023-02
2023-02-03 00:49:51+00:00,Semalem berhasil bayar pake QRIS https://t.co/p4NAdXGMbi,neutral,989.645.779.132.843,2023-02
2023-02-03 15:31:50+00:00,*mbeli gula* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin],negative,7.755.460.739.135.740,2023-02
2023-02-04 05:24:06+00:00,Orang Kristen tidak suka bayar tunai/cash karena dosa mereka dibayar dengan Jesus QRIS,negative,958.231.508.731.842,2023-02
2023-02-04 05:24:06+00:00,ken arok kalo bayar pake qris mpu gandring,neutral,9.830.394.387.245.170,2023-02
2023-02-04 05:36:21+00:00,@Askrlfess Coba diliat ditatonya nder Kali aja ada qris Nah ntr bayar disitu aja,neutral,9.874.336.123.466.490,2023-02
2023-02-04 16:08:44+00:00,literally sejak debat qris gw jd terbata2 kl mau bayar literally kmrn gw ngmng bayarnya pake kyu- qr aja bisa kan mas,neutral,5.489.595.532.417.290,2023-02
2023-02-05 12:15:18+00:00,@sbtcon Dr bubble mu aja blg aku bisanya bayar pake qris trs si seller gada. Ya dipikiran seller km gabisa beli,negative,8.438.867.926.597.590,2023-02
2023-02-06 02:00:31+00:00,BAYAR JAJANAN TINGGAL PAKAI QRIS karena semua #LebihMudahdiSeaBank! REPLY QRIS DI SEABANK DAN DOWNLOAD SEABANK SEKARANG https://t.co/ocgQEYhCQT buat dapetin KEUNTUNGAN lainnya dari SeaBank! #SeaBankID https://t.co/4hVlxQ7nnk,positive,6.893.223.524.093.620,2023-02
2023-02-06 09:18:22+00:00,Sore @HaloBCA Mau tanya ini kok dari sabtu gini terus ya. Saya bayar pake qris gangguan gk masuk2 ke penerima. https://t.co/GzG8hlSE9n,negative,9.873.336.553.573.600,2023-02
2023-02-08 03:13:54+00:00,mau canva pro 1 bulan yang bisa bayar pake qris,neutral,9.961.445.331.573.480,2023-02
2023-02-10 12:40:36+00:00,RT's are appreciated! thank u Haloo! aku bawa ready stock gepeng (genshin impact &amp; honkai star rail) harganya 11.000/each dapet ava PNG only. bisa bayar lewat qris bisa di take sekarang! tysm &lt;3 #zonauang #zonajajan #zonaba https://t.co/IK9yp9khlK,neutral,9.600.780.606.269.830,2023-02
2023-02-10 15:08:02+00:00,@hi *mbeli gula* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin] https://t.co/o1s0U758To,neutral,7.882.314.920.425.410,2023-02
2023-02-11 10:52:01+00:00,@convomfs kmren beli kopi di brand terkenal di indo kok disuruh nambah charge 1% ya klo bayar make qris? skrg gitu ya? tp klo bayar cash kena charge,negative,5.745.139.718.055.720,2023-02
2023-02-12 05:37:06+00:00,Mau Disney+ bayar pake qris #zonaba #zonauang,neutral,9.934.629.201.889.030,2023-02
2023-02-13 10:58:47+00:00,@gibran_tweet Mas coba pedagang di Alkid disarankan bisa bayar pake Qris biar orang-orang bisa lebih kalap kalau jajan,neutral,9.779.972.434.043.880,2023-02
2023-02-13 13:15:08+00:00,mau netflix sharing famplan seminggu dong prefer yg bisa bayar pake qris #zonauang,neutral,9.955.086.708.068.840,2023-02
2023-02-14 13:48:36+00:00,wtb netflix satu hari yg bisa lgsg login &amp; bisa bayar pake qris #zonauang #zonabaᅠᅠᅠ #zonajajan,neutral,995.768.904.685.974,2023-02
2023-02-15 07:37:34+00:00,Coba yang pemilik bisnis dan udh pake QRIS aku mo nanya... Apa alasannya kalau bayar pake QRIS pembeliannya minimal 100rb? Padahal aku bayar nasi ini bisa lho 10rb aja. https://t.co/EoipOhCrNC,neutral,9.710.203.409.194.940,2023-02
2023-02-16 03:32:56+00:00,Sumpah ngakak banget anjir gue mau bayar ngirim paket pake qris eh gue malah ngomingnya kiss ass anjir gatau kenapa agak ngelag nih otak,negative,9.901.358.485.221.860,2023-02
2023-02-16 08:00:01+00:00,Hah hari gini masih bayar pakai cash? ribet. Sekarang kemana-mana cukup bawa HP aja karna payment belanjaan kamu lebih gampang pakai QRis nya Allo Bank. Kalo kalian tipe cashless atau kemana2 harus pegang cash nih? Yuk komen dibawah ya! https://t.co/zMpSZgL8r6,positive,844.538.152.217.865,2023-02
2023-02-17 07:55:22+00:00,wtb canva 1 tahun drop price bs bayar pake qris #zonajajan #zonauang,neutral,993.571.400.642.395,2023-02
2023-02-19 12:40:32+00:00,Maaf telat join gaes xixixi. Kamu tipe yang mana nih pas mau bayar-bayar di kasir pake QRIS? Reply di bawah ya. https://t.co/6nnhV5VF0P,neutral,9.714.685.678.482.050,2023-02
2023-02-20 02:39:04+00:00,@FOODFESS2 Bagi yang nanya atau kebingungan ini tuh matcha frappenya point coffee yang lagi promo i do like Monday dari 35k jadi 19k. Terus bayar pake qris gopay nanti langsung dapet potongan 2k jadi ya cuman bayar 17k. Sama-sama.,neutral,9.381.088.614.463.800,2023-02
2023-02-20 08:07:58+00:00,netflix sebulan yg murah bestie. yg bisa bayar pake qris ya #zonauang,positive,7.082.328.796.386.710,2023-02
2023-02-20 12:05:57+00:00,Isi kuota internet dapet cashback. Bayar pake QRIS dapet diskon. Emang banyak untungnya transaksi pake Neobank tuh. Daftar Neobank di: https://t.co/1eilnrhX2c https://t.co/TzTj6OX3mn,positive,8.559.842.705.726.620,2023-02
2023-02-20 13:39:48+00:00,help rt makasiee banyak aku membawa layout ready stock hanni new jeans dapet ava png jpg bisa bayar via qris dan harganya 3000 saja mariee jajan #zonauang https://t.co/AVbcB1nRKF,neutral,931.912.124.156.952,2023-02
