created_at,Komentar,Sentiment,Score,month_year
2023-03-08 04:10:06+00:00,"@ikanmokpoo mjb, mau transaksi apa Kak? Aku transaksi bayar pake QRIS td aman dan lancar jayaa",positive,0.5016244649887085,2023-03
2023-03-05 10:48:34+00:00,"@BNICustomerCare ini kenapa dari dulu setiap mau transaksi qris via BNI selalu ga bisa ya min, setiap scan barcode selalu otomatis keluar gitu, ada 5 kali nyoba gitu terus jadi bete deh mau praktis malah jd ribet",negative,0.989467442035675,2023-03
2023-03-17 04:21:57+00:00,"@tanyakanrl Keuntungannya praktis, tinggal swipe up di homescreen/lockscreen terus bisa langsung transaksi pake QRIS.",positive,0.8306553959846497,2023-03
2023-03-03 16:20:59+00:00,"@leeehovo @discountfess mau tanya kak, di pertamina bisa bayar menggunakan qris ngga?",neutral,0.9959661960601808,2023-03
2023-08-21 11:39:04+00:00,Udah 4x gw transaksi di alfa bahkan alfa yg ada di beda kota. Gagal terosss pake qris wkwkwkwkwk males ah,negative,0.996809422969818,2023-08
2023-03-01 03:44:42+00:00,"Oalah, pantes kemaren gabisa transaksi pake qris",negative,0.8239908814430237,2023-03
2023-02-10 06:39:27+00:00,Wtb spotify pake akun sendiri need fast bisa bayar pake qris/bni #zonaba #zonauang️,neutral,0.9968036413192748,2023-02
2023-02-18 05:30:06+00:00,Gak usah bingung milih jajan enak atau jajan murah lagi karena mimin udah punya solusinya! Kamu bisa minum enak tambah murah di Cincau Station sampai 28 FEB karena kalau bayar QRIS pakai ShopeePay bisa dapet CASHBACK 80% lohh! Cusss buruan jangan sampai kelewatan! https://t.co/MZ9asEx7mU,positive,0.9303252696990968,2023-02
2023-02-03 00:49:51+00:00,Semalem berhasil bayar pake QRIS https://t.co/p4NAdXGMbi,neutral,0.989645779132843,2023-02
2023-02-03 15:31:50+00:00,*mbeli gula* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin],negative,0.7755460739135742,2023-02
2023-02-04 05:24:06+00:00,Orang Kristen tidak suka bayar tunai/cash karena dosa mereka dibayar dengan Jesus QRIS,negative,0.958231508731842,2023-02
2023-02-04 05:24:06+00:00,ken arok kalo bayar pake qris mpu gandring,neutral,0.9830394387245178,2023-02
2023-02-04 05:36:21+00:00,@Askrlfess Coba diliat ditatonya nder Kali aja ada qris Nah ntr bayar disitu aja,neutral,0.9874336123466492,2023-02
2023-02-04 16:08:44+00:00,literally sejak debat qris gw jd terbata2 kl mau bayar literally kmrn gw ngmng bayarnya pake kyu- qr aja bisa kan mas ,neutral,0.5489595532417297,2023-02
2023-02-05 12:15:18+00:00,@sbtcon Dr bubble mu aja blg aku bisanya bayar pake qris trs si seller gada. Ya dipikiran seller km gabisa beli,negative,0.8438867926597595,2023-02
2023-02-06 02:00:31+00:00,BAYAR JAJANAN TINGGAL PAKAI QRIS karena semua #LebihMudahdiSeaBank! REPLY QRIS DI SEABANK DAN DOWNLOAD SEABANK SEKARANG https://t.co/ocgQEYhCQT buat dapetin KEUNTUNGAN lainnya dari SeaBank! #SeaBankID https://t.co/4hVlxQ7nnk,positive,0.6893223524093628,2023-02
2023-02-06 09:18:22+00:00,Sore @HaloBCA Mau tanya ini kok dari sabtu gini terus ya. Saya bayar pake qris gangguan gk masuk2 ke penerima. https://t.co/GzG8hlSE9n,negative,0.9873336553573608,2023-02
2023-02-08 03:13:54+00:00,mau canva pro 1 bulan yang bisa bayar pake qris,neutral,0.9961445331573486,2023-02
2023-02-10 12:40:36+00:00,RT's are appreciated! thank u Haloo! aku bawa ready stock gepeng (genshin impact &amp; honkai star rail) harganya 11.000/each dapet ava PNG only. bisa bayar lewat qris bisa di take sekarang! tysm &lt;3 #zonauang #zonajajan #zonaba https://t.co/IK9yp9khlK,neutral,0.9600780606269836,2023-02
2023-02-10 15:08:02+00:00,@hi *mbeli gula* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin] https://t.co/o1s0U758To,neutral,0.7882314920425415,2023-02
2023-02-11 10:52:01+00:00,@convomfs kmren beli kopi di brand terkenal di indo kok disuruh nambah charge 1% ya klo bayar make qris? skrg gitu ya? tp klo bayar cash kena charge,negative,0.5745139718055725,2023-02
2023-02-12 05:37:06+00:00,Mau Disney+ bayar pake qris #zonaba #zonauang,neutral,0.9934629201889038,2023-02
2023-02-13 10:58:47+00:00,@gibran_tweet Mas coba pedagang di Alkid disarankan bisa bayar pake Qris biar orang-orang bisa lebih kalap kalau jajan ,neutral,0.9779972434043884,2023-02
2023-02-13 13:15:08+00:00,mau netflix sharing famplan seminggu dong prefer yg bisa bayar pake qris #zonauang,neutral,0.9955086708068848,2023-02
2023-02-14 13:48:36+00:00,wtb netflix satu hari yg bisa lgsg login &amp; bisa bayar pake qris #zonauang #zonabaᅠᅠᅠ #zonajajan,neutral,0.995768904685974,2023-02
