,No,Komentar,Label,Hasil Klasifikasi,Kategori_0,Kategori_1,Kategori_2,TP_0,FP_0,TN_0,FN_0,TP_1,FP_1,TN_1,FN_1,TP_2,FP_2,TN_2,FN_2
195,1,cepat ketemu qris seabank ditemuin tipetipe like balas qris seabank sebanyakbanyaknya kejut spesial bikin transaksi anti wory,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
4325,2,barusan transaksi qris livin transaksi tunda saldo potong ngembalin saldo,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
349,3,transport murah ngutamain tempat jangkau jalur transport kemarin coba versi transjogja harga cepat aman nyaman bayar qris transjakarta emoney cari rute gmaps movit,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
7707,4,rumit main aplikasi hasil uang paris gacor uang tambah menit langsung masuk,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7088,5,inovasi bayar pajak kota bogor pakaiqris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
303,6,riana phm keluh keluh transaksi qris sila tungu informasi direct message terima pf,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6459,7,usung semangat ungul bi kenal qris riau,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4783,8,selamat pagi sat transaksi qris cros border laku negara thailand mengunakan mbca mobile transaksi bank partner thailand integrasi jaring qris bank cimb thai beli badif,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1247,9,kenal transaksi qris nama belashop sfu,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
267,10,beli alfamart alfamart nya orang item hari lihat nya orang transaksi promo shopepay sekitar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2487,11,protes habis kemarin bayar qris kena potong ngamuk,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
5292,12,open jasa pinjam qris fe hitung hari transaksi bebas transaksi kali nominal langsung hubung detail testi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
5365,13,bias beli qris pas habis tf ditunjukin jual bawa minjem hotspot ojan isi kuota pas habis bayar kuota hasil pembayaranya lihat ojan,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6659,14,qrisnya bi langsung kirim email scan terima push instead pul crowdfunding,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
377,15,lu klik qris klik muncul tau transaksi qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3495,16,bismilah ayo lengkapin infaq subuh qris sisa rp link doku shopepay yatim dhuafa muslim minoritas konfirmasi klik,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6848,17,payo qris qr code bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4393,18,bayar parkir qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
24,19,netflix langsung login bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7389,20,asosiasi dagang pasar johar karawang transaksi qris pasar johar laku pemberlakuanya tahap,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3383,21,al qris ac emailpasword go gren masuk mtht random pesan direct message,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5599,22,sobat informasi transaksi qris kartu kredit sumber mengunakan kartu kredit reguler fitur kartu kredit co branding card tokopedia card traveloka btn gadai,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
562,23,transaksi qris minimal rp ribu lupa langsung klik baner halaman aplikasi neobank pilih hadiah lucky box,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6592,24,ramai habis bank indonesia gelar riah ujung sosialisasi qris metode bayar non tunai adu cepat ptanyan uang elektronik hadiah,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3601,25,bismilah ayo lengkapin infaq qris sisa rp link doku shopepay yatim dhuafa muslim minoritas konfirmasi klik,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2464,26,piece bring gren zhang hao dom bebas prefer bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3284,27,sun sands promo ayo serbu minimum transaksi rp juta nikmat potong rp ribu transaksi qris mybcabca mobilesakuku promo laku loh ketingalan cek lengkap,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3481,28,kosong qris al ac emailpasword go gren masuk mtht random pesan direct message,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7166,29,dukung transaksi non tunai bsb luncur qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
7159,30,layan aplikasi bsb qris mawardi yahya syarat,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1962,31,asyik gaes kahitna hadir konser ims infinite liveterus diskon tiket bundle masuk ims surabaya bayar qris dbank pro ribu ribu beli tiket spot tiket box traktir keluarga ayang,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
3126,32,mandiri jam gin transaksi lelet transaksi qris gagal potong,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
298,33,jual netflix bayar qris langsung proses,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7580,34,lupa pulang bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4193,35,kakak transaksi kakak qris sibeng,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5717,36,iya habis ngescan langsung close pas nunjukin status transaksi huhu tanggal qris sate martabak martabak muncul status transaksi benar bingung banget takut bayar,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
6956,37,scan qris mengunakan aplikasi simobi bersamasama atas wabah covid saudara,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5293,38,rangkai bayar al ewalets qris wording hari harga affordable bundle fre request get em selagi open,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
767,39,pokok urus bayarbayar sat cari makan tinggal qris neobank praktis ambil hadiah ayo transaksi minimal rp ribu qris neobank ambil hadiah informasi lengkap klik,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6691,40,belanja pasar raya padang qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5140,41,sorry using bikin qris mending dompet prefer biaya adminya rumit sharing tambah minus kah terima,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
138,42,transaksi mengunakan qris akun pacar akun bisnis cv terima,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2376,43,jagat kasi banget sekolah bandung kanti bayar tunai qris kartu foreadaus sat jul makan sate apjay bayar qris transaksi nambah ribu,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
409,44,transaksi merchant qris ganguan proses daritadi butuh,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
3422,45,kosong al qris akun emailpasword go gren masuk mtht random pesan direct message,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4616,46,selamat dunia bank mega syariah luncur fitur qris aplikasi msyariah nikmat mudah transaksi teknologi baru november,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
1424,47,transaksi mah rumit qris gampang fitur donasi zakat thr bayar tiket kai kecangihan anti rumit,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
3015,48,minimal konfirmasi pengunan bayar qris thailand tarif debit kartu biru transaksi negara,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
7632,49,hlow beli netflix hari bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2479,50,bayar qris nungu menit bgst,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4075,51,informasi promo diskon mcd bayar blu qris cashback minim belanja maksimal penguna kode kupon sat bayar blumcd,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
