No,Komentar,Label,Hasil Klasifikasi,Kategori_Positif,Kategori_Netral,Kategori_Negatif,TP_Positif,FP_Positif,TN_Positif,FN_Positif,TP_Netral,FP_Netral,TN_Netral,FN_Netral,TP_Negatif,FP_Negatif,TN_Negatif,FN_Negatif
1,cepat ketemu qris seabank ditemuin tipetipe like balas qris seabank sebanyakbanyaknya kejut spesial bikin transaksi anti wory,Positif,Netral,FN,FP,TN,,,,1,,1,,,,,1,
2,barusan transaksi qris livin transaksi tunda saldo potong ngembalin saldo,Negatif,Netral,TN,FP,FN,,,1,,,1,,,,,,1
3,transport murah ngutamain tempat jangkau jalur transport kemarin coba versi transjogja harga cepat aman nyaman bayar qris transjakarta emoney cari rute gmaps movit,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
4,rumit main aplikasi hasil uang paris gacor uang tambah menit langsung masuk,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
5,inovasi bayar pajak kota bogor pakaiqris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
6,riana phm keluh keluh transaksi qris sila tungu informasi direct message terima pf,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
7,usung semangat ungul bi kenal qris riau,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
8,selamat pagi sat transaksi qris cros border laku negara thailand mengunakan mbca mobile transaksi bank partner thailand integrasi jaring qris bank cimb thai beli badif,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
9,kenal transaksi qris nama belashop sfu,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
10,beli alfamart alfamart nya orang item hari lihat nya orang transaksi promo shopepay sekitar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
11,protes habis kemarin bayar qris kena potong ngamuk,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
12,open jasa pinjam qris fe hitung hari transaksi bebas transaksi kali nominal langsung hubung detail testi,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
13,bias beli qris pas habis tf ditunjukin jual bawa minjem hotspot ojan isi kuota pas habis bayar kuota hasil pembayaranya lihat ojan,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
14,qrisnya bi langsung kirim email scan terima push instead pul crowdfunding,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
