created_at,Text,Sentiment,Score
2023-11-02 05:16:27+00:00,"@dntchl Dengan senang hati kami informasikan Bapak/Ibu Pelanggan. Jika yang dimaksud untuk proses settlement transaksi QRIS Statis, maka otomatis dilakukan setiap hari dan pembayaran ke merchant atas hasil transaksi H+1 (termasuk weekend dan hari libur) ya. Proses (1/3) ^Nindi",neutral,9.744.567.275.047.300
2023-11-02 06:28:29+00:00,"@HaniNurfatiya 4. Cashback hanya diberikan untuk transaksi QR OCTO Mobile dari sumber dana Tabungan, Kartu kredit &amp  Rekening Ponsel di mesin EDC CIMB Niaga/EDC Multibank/QR Statis CIMB Niaga. 5. Limit maksimal QRIS yang ditentukan oleh Bank Indonesia adalah Rp10.000.000,00.",neutral,9.802.883.863.449.090
2023-11-02 06:58:30+00:00,"@mandiricare by default harusnya transaksi QRIS itu tarik saldo rekening, ini kok tarik pake CC.  sistemnya kok aneh yaa. ini engineernya gak paham develop system apa sengaja biar orang pake CC ?",negative,9.936.413.168.907.160
2023-11-02 08:08:36+00:00,"dear livin, saya tadi ada transaksi di Kopi Kenangan Cambridge Medan menggunakan QRis Livin tetapi status nya tertunda dan saldo saya sudah berkurang dan pihak Kopi Kenangan blm menerima uang nya. Mohon bantuannya @mandiricare @bankmandiri",neutral,9.875.072.240.829.460
2023-11-02 08:16:21+00:00,Menurutku penemuan di bidang keuangan tercanggih kedua setelah QRIS itu Virtual Account. Bener2 mempermudah transaksi para pihak.,positive,9.861.183.166.503.900
2023-11-02 08:48:21+00:00,"Komisi XI DPR RI:Tingkatkan Literasi Keuangan Digital Ibu Rumah Tangga Bank Indonesia mencatatat,hingga kuartal II-2023,nominal transaksi QRIS tumbuh 104,64%, sehingga mencapai Rp49,65 Triliun,dengan jumlah pengguna 37,0 juta. #tvrparlemen #dprri #tvr120 https://t.co/L2xVSA4bjG",neutral,9.916.709.661.483.760
2023-11-02 09:05:04+00:00,"@HaloBCA Berarti transaksi dengan qris sudah termasuk setoran awal ya, tidak harus setor tunai ke atm?",neutral,9.947.545.528.411.860
2023-11-02 09:23:08+00:00,Kalian juga bisa tukerin BRIpoin jadi voucher belanja dan aja juga loh cashback 10% setiap transaksi di merchant BRI pake QRIS di BRImo  @BANKBRI_ID,neutral,8.900.230.526.924.130
2023-11-02 09:38:12+00:00,@ameliarishyyyy @discountfess Kalo yg niat itu beli di blibli min 150 pake qris line kak harus 2x transaksi kalo mau dpt 40k. Kalo cmn 1x cmn dpt 20k. Yg sisanya kurang tau,neutral,9.073.579.907.417.290
2023-11-02 10:04:08+00:00,"@GUECOPO Transaksi dengan QRIS merupakan salah satu dari transaksi yg disyaratkan, bukan setoran awal. Namun, untuk dapat melakukan transaksi QRIS, maka perlu terdapat saldo pada rekening baru Bapak/Ibu Pelanggan tersebut. Tidak harus melalui ATM.",neutral,9.844.969.511.032.100
2023-11-02 10:09:40+00:00,"Diharapkan melalui kegiatan ini, masyarakat di Purbalingga lebih aware, memiliki akseptasi dan usage qris yang tinggi sehingga meningkatkan pengguna dan volume transaksi QRIS di wilayah Purbalingga dan sekitarnya. Yuk kita terus gunakan QRIS ya bestie semuanya.  #MayuhnganggoQRIS",positive,85.248.202.085.495
2023-11-02 10:11:03+00:00,"Diharapkan melalui kegiatan ini, masyarakat di Banyumas lebih aware, memiliki akseptasi dan usage qris yang tinggi sehingga meningkatkan pengguna dan volume transaksi QRIS di wilayah Banyumas dan sekitarnya.  Yuk kita terus gunakan QRIS ya bestie semuanya.",positive,8.260.738.253.593.440
2023-11-02 10:14:11+00:00,Melalui kegiatan ini diharapkan dapat meningkatkan transaksi penjualan pedagang ya bestie dengan berbagai kemudahan dan manfaat dari penggunaan QRIS serta mendorong percepatan pemulihan perekonomian di Kabupaten Banyumas bestie.,neutral,7.686.813.473.701.470
2023-11-02 10:18:38+00:00,"senilai minimal Rp20.000,- dapat memperoleh kesempatan utk mendapatkan souvenir dan merchandise menarik dari Bank Indonesia. Hal ini untuk mendorong peningkatan transaksi pada UMKM di event AGF apalagi diseluruh umkm yg ikut serta sudah memiliki QRIS sebagai metode pembayarannya.",positive,7.387.412.190.437.310
2023-11-02 10:18:39+00:00,Yuks bestie jangan lupa ya gunakan QRIS sebagai metode pembayaran transaksi kamu semua ya.  #mayuhnganggoqris #disetiapmaknaindonesia #akubanggabibermakna,neutral,9.419.110.417.366.020
2023-11-02 11:39:19+00:00,"Hallo @BNICustomerCare saya barusan belanja di warung pake metode qris. Transaksi gagal, saldonya ga kekirim ke pedagang, tapi saldo di akun saya hilang. Saya belanja setotal 65.000. Ini solusinya gimana ya? Semoga dibales.",neutral,6.648.720.502.853.390
2023-11-02 12:02:43+00:00,@linkaja transaksi Qris lg error min ?,negative,980.765.163.898.468
2023-11-02 12:25:44+00:00,"@gojekindonesia @gopayindonesia min, tadi saya coba transaksi pake gopay di merchant, tapi loadingnya lama bgt, akhirnya ganti scan qris pake mobile banking dan sukses. Tapi kemudian notif transaksi yg gopay sukses juga setelah 30 menit. Ini bisa direfund gak? https://t.co/Ai37swK4du",neutral,8.710.362.911.224.360
2023-11-02 12:36:51+00:00,@mediocrickey Nah itu abangnya pake shopeepay itu gue pake qris kaga masuuk nga ada di history transaksi abangnya udah ditunggu lama juga masih nga masuk yawdalah jdi bayar 2x,neutral,9.151.742.458.343.500
2023-11-02 13:26:51+00:00,"shopee kenapa deh  padahal aku ngelakuin transaksi yang bener, cuma bayar qris Indomaret pakai shopeepay tiba aja akun aku di batasin (F02)  padahal ada saldo penjualan, pesanan yang belum aku kirim gimana nih nasib customer aku yang pesanan nya belum sempat aku kirim @ShopeeID""",negative,9.873.107.671.737.670
2023-11-02 15:02:51+00:00,"gue : bu tapi ini qris buat transfer, bukan kwitansi elektronik.""  penipu: ""iya nanti setelah itu muncul kwitansi""  gue: ""uang saya ketarik dong""  ""nggak kak, kalau ketarik nanti kami refund""  *dalam hati gue ga yakin tapi tetep ditransfer 4x transaksi*  dasar goblok""",negative,9.971.230.626.106.260
2023-11-02 20:38:20+00:00,"@HaloBCA tolong dong tadi transaksi pake qris ... pembayaran berhasil tapi resi ga kecetak ,padahal saldi sudah kepotong...gimana solusinya",neutral,8.090.487.122.535.700
2023-11-03 02:11:33+00:00,"📢Info Promo Cashback 50% Cinema XXI dan XXI Cafe pakai Digibank DBS  catat gais. Ini mantap cashbacknya! 👍  💫Min transaksi 50k, cashback 25k  ✅Pembayaran wajib pakai QRIS Digibank ✅Khusus pembelian di tempat  ⚠️Max 2x / bulan ⛔Tidak berlaku di The Premiere  📅Berlaku hingga… https://t.co/EuAFhvj4gq",neutral,8.205.922.842.025.750
2023-11-03 03:17:33+00:00,"@HaloBCA saya semalem transaksi ke qris, saldo saya udah kepotong tapi pihak merchant belum nerima saldonya, gimana ya?",neutral,8.601.048.588.752.740
2023-11-03 03:47:50+00:00,"@mandiricare saya transaksi via qris status tertunda,saldo tertahan,pengembalian harus lewat cs email tp ga drespon,tolong min",neutral,9.904.674.887.657.160
2023-11-03 04:09:01+00:00,Transaksi pertama dg QRIS di LN https://t.co/Ay0W5SANYA,neutral,9.968.812.465.667.720
2023-11-03 05:31:25+00:00,"“Mbak Taylor, tadi saya belanja dan bayar pakai QRIS. Kasirnya minta saya nunjukin bukti berhasil transaksi di layar HP saya lalu dia foto dan catat manual.”",neutral,9.889.070.987.701.410
2023-11-03 06:42:34+00:00,"Luncurkan QRIS, Bank Mega Syariah Bukukan Transaksi Rp721 juta https://t.co/pG7XrVpW3c",neutral,9.969.019.889.831.540
2023-11-03 07:15:42+00:00,"@madeandi Ada beberapa kesulitan : 1.Pelaku usaha masih gaptek karena gak bisa pengecekan real time pada aplikasi 2.terkadang,ada transaksi qris yg gak masuk ke rekening pelaku usaha. Tolong dimengerti ya jgn salty...",negative,8.246.740.698.814.390
2023-11-03 07:42:19+00:00,"@linkaja SAT SET? saya saja pake Qris langsung ditahan uang transaksi nya, tapi sudah masuk tagihan. SAT SET NYOLONG maksudnya ya?",negative,5.666.040.182.113.640
2023-11-03 07:55:41+00:00,"Kegiatan ini bertujuan untuk memberikan pemahaman kepada mahasiswa UIN KHAS Jember terkait  transaksi aman tanpa ribet melalui QRIS, cara untuk cinta, bangga, dan paham rupiah serta mengupas tuntas beasiswa Bank Indonesia dan GenBI. https://t.co/6YwHwTvtFo",neutral,9.191.147.685.050.960
2023-11-03 08:12:12+00:00,"Kegiatan ini bertujuan untuk memberikan pemahaman kepada mahasiswa UIN KHAS Jember terkait  transaksi aman tanpa ribet melalui QRIS, cara untuk cinta, bangga, dan paham rupiah serta mengupas tuntas beasiswa Bank Indonesia dan GenBI. https://t.co/Hg7BXOP3mO",neutral,8.960.806.727.409.360
2023-11-03 08:31:30+00:00,@HaloBCA Saya mau refund transaksi kirim menggunakan QRis karna saya kirim qris tapi saldo ny gak masuk di rek penerima sedangkan saldo saya sudah brkurang,neutral,9.913.527.369.499.200
2023-11-03 08:35:51+00:00,"halo @HaloBCA terjadi kegagalan transaksi QRIS tapi saldo berkurang, pihak dari QRIS sudah hubungi saya dan katanya harus konfirmasi ke bank",neutral,9.911.223.649.978.630
2023-11-03 11:06:02+00:00,"(-): - gak ada opsi kartu mastercard/visa, cuma GPN - gak bisa contactless - kantor cabang &amp  ATM terbatas, itu pun gak ada ATM setor tunai - mobile banking belum ada fitur qris - masih kena charge meski EDC BCA (tarik tunai di BCA aman) - cocok buat simpanan bukan transaksi",positive,8.687.898.516.654.960
2023-11-03 12:40:27+00:00,"Mega Syariah Rilis Fitur QRIS, Transaksi Tembus Rp721 Juta https://t.co/6JHSwBjNfo",neutral,9.958.468.079.566.950
2023-11-03 12:47:17+00:00,"krn atm kadaluarsa alhasil hari ini segala transaksi hrs ngandelin qris. trs pas ke minimart merah oren, aku blg ke kasirnya 💁🏻‍♀️ pake qris (re: kris) ya mas 🙋🏻‍♂️ eh? hehehe pake apa mbak? kris, kyuris atau kiris?? hehe (cara ngmngnya ngenyek bgt) 💁🏻‍♀️ ......... 🙋🏻‍♂️ hehe",negative,4.790.828.227.996.820
2023-11-03 19:38:17+00:00,"@lucidamerta Hai Sobat BRI, mohon maaf atas kendala transaksi QRIS yang dialami. Kami lakukan pengecekan transaksi QRIS melalui BRImo normal ya, jika mengalami kendala, silakan kirim respon yang diterima dalam bentuk gambar melalui DM.  Sobat BRI harus tetap waspada, semua akun resmi (1)",neutral,9.766.412.377.357.480
2023-11-03 23:58:12+00:00,000 nasabah BMS telah menggunakan fitur QRIS dengan total transaksi mencapai Rp 500 juta. Ini menunjukkan antusiasme tinggi dari nasabah BMS dalam mengadopsi teknologi pembayaran yang lebih praktis dan aman. Terima kasih PT Bank Mega Syariah,positive,9.657.771.587.371.820
2023-11-04 00:19:48+00:00,"@tanyakanrl Semua bisa,tpi klo mau transaksi kudu via qris",neutral,9.960.875.511.169.430
2023-11-04 00:20:35+00:00,"@mandiricare halo min selamat pagi, ada transaksi qris kemarin dan di livin merchant sudah ada proses pencairan juga dan berhasil, sudah dapet email statement untuk laporan 3/11/2023 juga. Tapi di rekening mandiri saya belum cair dan belum masuk di rekening",neutral,9.862.858.653.068.540
2023-11-04 01:08:50+00:00,"000 nasabah BMS telah menggunakan fitur QRIS di M-Syariah. Wah, mantap nih BMS! Semakin memudahkan transaksi kita semua.",positive,9.810.980.558.395.380
2023-11-04 01:26:34+00:00,"@bankmandiri maksa banget ngaktifin CC mandiri shopee ternyata hanya untuk menjebakku, transaksi pake qris kalo ngga teliti tap dulu ke tabungan ya bakal kebayar pake CC. Giliran bayar tagihan motong saldonya berhasil, tapi statusnya masi tertagih mulu. Segitunya amat cari duit💀",negative,9.400.861.859.321.590
2023-11-04 01:54:54+00:00,"@mandiricare min, mohon info kendala pencairan qris merchant di laporan transaksi berhasil dicairkan pada 03 Nopember 2023 jam 16.00, tapi per laporan ini dibuat, dana belum masuk rekening. Detail sudah kirim via dm",neutral,996.729.850.769.043
2023-11-04 02:36:31+00:00,"@linkaja Transaksi QRIS sudah 2 kali pending saldo sudah terpotong, solusi nya gimana min ?",neutral,5.411.036.014.556.880
2023-11-04 02:39:46+00:00,@sserayunjeen udaah kak aku kemarin jam 6/7an udah coba reinstall cuma tetep aja kalau dibuat transaksi tf/qris/topup keluarnya kaya giniii https://t.co/6fI2xMsirD,neutral,863.360.583.782.196
2023-11-04 02:45:27+00:00,"1 juta transaksi QRIS telah dilakukan oleh nasabah BMS. Wow, ini artinya semakin mudah dan praktis untuk bertransaksi di era digital!",positive,893.110.454.082.489
2023-11-04 03:52:23+00:00,"000 nasabah BMS telah menggunakan fitur QRIS di M-Syariah. Wah, mantap nih! Semakin memudahkan transaksi kita semua.",positive,9.751.858.115.196.220
2023-11-04 04:14:20+00:00,apakah gopay coin yang kita dapet dari cashback tokped bisa buat bayar2 transaksi pake qris gopay?,neutral,9.789.189.696.311.950
2023-11-04 04:52:43+00:00,"@ydlew cara ngitungnya: t = 700k c = 5% = 0.05 jika transaksi p &gt = 30k maka, dicari n integer dari t = c*p*n atau n = t/(c*p) = 467  maka butuh keluarin duit sebesar minimal  n*p= 14.01jt  itupun belum termasuk biaya administrasi QRIS  u/ c =0.1% per minimum p=1k t = 700k maka n*p=700jt",neutral,6.037.691.235.542.290
2023-11-04 04:56:00+00:00,"cara ngitungnya: t = 700k c = 5% = 0.05 jika transaksi p &gt = 30k maka, dicari n integer dari t = c*min(p)*n atau n = 467   maka butuh keluarin duit sebesar minimal n*p= 14.01jt  itupun belum termasuk biaya administrasi QRIS  u/ c =0.1% per p&gt =1k  n = 700k maka n*p=700jt",neutral,6.387.435.793.876.640
2023-11-04 06:16:25+00:00,"@danawallet Hi Admin, mau make sure apakah benar transaksi QRIS Dana bisa digunakan di negara Thailand? kalau iya apakah di setiap transaksi nya ada tamabahan biaya? Mohon infonya ya, thank you",neutral,97.041.916.847.229
2023-11-04 06:26:59+00:00,"@ydlew Hi Kak,  Mohon maaf atas ketidaknyamanannya dan terima kasih atas masukan yng diberikan untuk paket QRIS Unlimited Plus.  Saat ini kami telah mengimplementasikan masukan tersebut pada paket QRIS Unlimited Plus dengan menghilangkan minimum transaksi.",neutral,9.928.134.083.747.860
2023-11-04 06:28:38+00:00,"@IntanLintang1 Hai Kak, terkait pertanyaan kamu, transaksi QRIS menggunakan DANA di Thailand tdk ada tambahan biayanya ya Kak. Thanks -DN_",neutral,9.951.606.392.860.410
2023-11-04 08:28:49+00:00,"1 juta transaksi menggunakan QRIS telah dilakukan oleh nasabah BMS. Wow, semakin mudah dan praktis untuk bertransaksi dengan M-Syariah!",positive,9.118.490.219.116.210
2023-11-04 09:00:33+00:00,"@shishinny Hai Kak @shishinny, maaf buat Kakak nggak nyaman, terkait kendala transaksi QRIS Kakak dapat informasikan detail kendalanya melalui DM ke mimin. Mimin tunggu ya Kak.(1/3)",neutral,9.904.448.390.007.010
2023-11-04 10:38:14+00:00,"@idihibedihi Bisa dong Kak, untuk transaksi menggunakan QRIS blu dan bluDebit Card di mesin EDC nggak dikenakan biaya ya.",neutral,9.721.533.060.073.850
2023-11-04 12:03:56+00:00,"@KiiroNino Hai, Kak @KiiroNino. blu bisa kok Kak transaksi di Hokben menggunakan QRIS, jika ada transaksi Kakak yang nggak mendapatkan cashback, minblu saranin Kakak menghubungi layanan haloblu 1500668 agar dibantu lebih lanjut karena membutuhkan verifikasi data melalui telepon. (1/2)",neutral,9.828.821.420.669.550
2023-11-04 14:04:28+00:00,"@BNICustomerCare saya ada kendala malam ini, barusan transaksi QRIS di KKV, di rek bni sy terdebet, tp di mereka tidak masuk. Mereka pakai rek B*A. Saya jd harus bayar kembali menggunakan kartu debit dr bank yg sesuai dgn mesin EDC mereka yaitu B*A I want my money back ya BNI 😉",neutral,9.022.663.235.664.360
2023-11-04 20:36:32+00:00,@KFCINDONESIA emang kalo transaksi qris sesusah itu yaa?,positive,8.461.245.894.432.060
2023-11-04 23:00:01+00:00,"Beli kartu perdana dan isi ulang kuota jadi makin mudah dengan #3DigiBox! Bayarnya bisa pakai QRIS lho, Gaes.  Yuk buruan cobain transaksi di #3DigiBox terdekat. Cek https://t.co/CMeR1U0Kzw  #IniWaktunyaKita https://t.co/UWG8XS8BcA",neutral,9.342.758.655.548.090
