Komentar,Preprocessed Text,Logistic Regression,Lexicon-Based
"@ikanmokpoo mjb, mau transaksi apa Kak? Aku transaksi bayar pake QRIS td aman dan lancar jayaa",transaksi transaksi bayar pake td aman lancar jaya,positive,positive
"@BNICustomerCare ini kenapa dari dulu setiap mau transaksi qris via BNI selalu ga bisa ya min, setiap scan barcode selalu otomatis keluar gitu, ada 5 kali nyoba gitu terus jadi bete deh mau praktis malah jd ribet",transaksi via barcode otomatis nyoba praktis ribet,positive,positive
"@tanyakanrl Keuntungannya praktis, tinggal swipe up di homescreen/lockscreen terus bisa langsung transaksi pake QRIS.",praktis up transaksi pake,positive,positive
"@leeehovo @discountfess mau tanya kak, di pertamina bisa bayar menggunakan qris ngga?",pertamina bayar nga,neutral,positive
Udah 4x gw transaksi di alfa bahkan alfa yg ada di beda kota. Gagal terosss pake qris wkwkwkwkwk males ah,transaksi alfa alfa beda kota gagal ros pake males,negative,positive
"Oalah, pantes kemaren gabisa transaksi pake qris",pantes kemaren gabisa transaksi pake,neutral,positive
Wtb spotify pake akun sendiri need fast bisa bayar pake qris/bni #zonaba #zonauang️,pake akun bayar pake,neutral,positive
Gak usah bingung milih jajan enak atau jajan murah lagi karena mimin udah punya solusinya! Kamu bisa minum enak tambah murah di Cincau Station sampai 28 FEB karena kalau bayar QRIS pakai ShopeePay bisa dapet CASHBACK 80% lohh! Cusss buruan jangan sampai kelewatan! https://t.co/MZ9asEx7mU,bingung milih jajan jajan murah solusi minum murah feb bayar dapet cus buru,positive,positive
Semalem berhasil bayar pake QRIS https://t.co/p4NAdXGMbi,semalem hasil bayar pake,neutral,positive
*mbeli gula* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin],gula bayar tunai debit pake tunai mending senyum jt bayar tunai sah tangan,negative,positive
Orang Kristen tidak suka bayar tunai/cash karena dosa mereka dibayar dengan Jesus QRIS,suka bayar dosa bayar,positive,positive
ken arok kalo bayar pake qris mpu gandring,bayar pake,neutral,positive
@Askrlfess Coba diliat ditatonya nder Kali aja ada qris Nah ntr bayar disitu aja,coba liat bayar situ,neutral,positive
literally sejak debat qris gw jd terbata2 kl mau bayar literally kmrn gw ngmng bayarnya pake kyu- qr aja bisa kan mas ,debat bayar kmrn bayar pake qr,neutral,positive
@sbtcon Dr bubble mu aja blg aku bisanya bayar pake qris trs si seller gada. Ya dipikiran seller km gabisa beli,mu blg bisa bayar pake trs gada gabisa beli,negative,positive
