UserName;Handle;Timestamp;Text;Label
Okezone;@okezonenews;23/07/2023 12:30;Cek-Cek Harga BBM Pertamina, Shell hingga Vivo Hari Ini, Mana yang Lebih Murah?;neutral
Muhiq;@MuhiqR;23/07/2023 11:58;"Rekam Jejak Sang Pemimpin Di Bidang Sosial
Disaat pemerintah menaikkan harga BBM di tengah kesulitan rakyatnya, Pak Anies Hadir memberikan bantuan berupa dana untuk para lansia.

Yuk sebarkan sebanyak-banyaknya
@xix0_3
 @Yurissa_Samosir
 @Hey_Maya1108
 @Okta_Roza
 @doelpaten";neutral
HannySoebiarto;@HannySoebiarto;23/07/2023 11:35;Haaaalaaaah... nyinyir dan hasut doang kau...emangtidak bisa melihat apa.. bagaiaman perekonomian meningkat dan bagaimana bahagianya pengguna jalan tol dan penikmat bbm 1 harga .. eh infrastruktur mana yg mangkrak? Hoax ajah... untung saja kau tidak stroke....rakyat cinta Jokowi;negative
Polsek Firdaus;@PolsekFird9585;23/07/2023 11:12;"personil Polsek Firdaus dan unit Intel Polsek Firdaus  melakukan  deteksi dan  monitor  stock BBM  pasca penyesuaian harga/kenaikan harga BBM Bersubsidi  serta kelangkaan BBM di SPBU - SPBU diwilayah hukum Polsek Firdaus 

#polressergai";neutral
KatakDumdum;@intelcore1608_;23/07/2023 11:01;"Harga bbm naik? 
https://finance.detik.com/energi/d-6836742/bikin-penasaran-pertamina-siapkan-kado-misterius-buat-hari-kemerdekaan-ri…

PT Pertamina (Persero) telah menyiapkan kado untuk Indonesia jelang bulan kemerdekaan. Kado tersebut masih misteri.";neutral
KIA || hiatus bentar, baliknya kapan-kapan;@onlyourkia;23/07/2023 10:37;terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya SUNGHOON ke rumah sakit untuk menghadirkan seorang SUNGHOON di bumi ini;neutral
jepα. ♡;@kiteuns;23/07/2023 10:02;terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya bina ke rumah sakit untuk menghadirkan seorang BINAAA di bumi ini ;neutral
IDX CHANNEL;@idx_channel;23/07/2023 09:32;Pertamina melakukan penyesuaian harga bahan bakar minyak (BBM) Umum per Minggu (23/7). Cek di sini untuk selengkapnya;neutral
Kadrun Suryoatmojo;@TovickVieira;23/07/2023 09:30;Nunggu harga BBM dan sembako turun?;neutral
Raja;@Rajakonoha;23/07/2023 09:24;Lah dia mah ngomong apa aja juga enak, Mao harga BBM, pangan naik juga gak ngepek, wong duite akeh;negative
YP;@yudistirop;23/07/2023 08:22;Harga BBM di tahun 1991 adalah Rp500 per liter;neutral
Suyatno Wiyono;@SuyatnoWiyono;23/07/2023 07:49;Sekelas ini masih bicara ketimpangan,sekarang ketimpangan dah mulai dikikis dengan pembanganan jln trans luar jawa,1 harga bbm tp msh aja kelas gini msh ngomong,preeeeeeet;negative
tofffffatofffa;@Gojeck7;23/07/2023 07:30;"Tapi waktu itu harga dolar 150/$

Harga BBM 100/liter

Beras 75-120k/jg

Sama juga bohoy ";neutral
Lukman Adham;@AdhamLukman;23/07/2023 07:26;"Kau blng Listrik mhl.. kau bangun tuh Power Plan, brp thn ngarep balik tuh uang kau.. pemimpin mana selama Indonesia merdeka bisa membuat 1 harga BBM dr sabang smpi meroke.. apa itu artinya, baca pancasila. BBM mhl. Siapa yg msh punya jtah import minyak. (Jwb Ju2r 
@Metro_TV
 )";negative
ZAM;@ZAM05029527;23/07/2023 07:26;calon presiden kok gampang kaget...nanti gak jadi presiden kaget sakit jantung opname terus stroke...calon dari partai kebo kalau kampanye pasti pencitraan terus...giliran jadi harga sembako bbm melambung diam seribu bahasa....dancox dancox;negative
andrea fans;@andrea15_fans;23/07/2023 06:34;"IPO perusahaan migas akan memberikan manfaat ganda, yakni mendukung keberlanjutan operasional perusahaan serta mengurangi impor minyak mentah dan bahan bakar minyak, sehingga berkontribusi pada pemulihan ekonomi nasional dan ketahanan energi negara.

#IPO #PHE #PERTAMINA";positive
RollyManan;@zukri42751981;23/07/2023 06:29;Bego, BBM ikut harga pasar dunia Lo mau demo siapa tolol;negative
ANU aja;@anu318725175311;23/07/2023 06:05;"Ya sekarang liat aja, 
Yg yg baik dari rezim ini?

1)hutang negara menggunung
2)janji 10jt lapangan kerja, modus
3)PHK karyawan di'mana²
4)harga kebutuhan pokok BBM listrik naik

Cb sebutkan, apa yg baik dari rezim jkw? 
Yg hidup di negara ini bukan cm lu doang, 
Pikirin yg lain";negative
hibangtan;@Mega41959177;23/07/2023 06:01;Prestasinya  ngibulin rakyat selama 9 th yang janjinya sembako murah malah mahal yang janjinya tidak menaikan BBM malah pindah harga;negative
Alfian;@Yudi130272;23/07/2023 05:20;Saya juga melek politik semenjak harga BBM meroket, kedepannya jangan sampai salah pilih lagi.;negative
Intifada!;@syhdwesaprawasa;23/07/2023 01:32;Sekarang lihat bagaimana reply homofobik yang ada di thread ini. Selamat kepada matt healy yang menyiramkan bahan bakar minyak pada masyarakat bigot kami ;neutral
Micha;@Simp4Danheng;23/07/2023 01:26;terima kasih ya Allah, telah membiarkan fosil dinosaurus terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya Joshua ke rumah sakit untuk menghadirkan seorang HONG JISOO di bumi ini.;neutral
